Brasil e Município;Alfafa fenada;Algodão arbóreo (em caroço);Algodão herbáceo (em caroço);Amendoim (em casca);Banana (cacho);Batata-doce;Batata-inglesa;Cacau (em amêndoa);Café (em grão) Total;Café (em grão) Arábica;Café (em grão) Canephora;Caju;Castanha de caju;Erva-mate (folha verde);Fava (em grão);Feijão (em grão);Girassol (em grão);Guaraná (semente);Juta (fibra);Malva (fibra);Mamona (baga);Mandioca;Manga;Melancia;Melão;Milho (em grão);Noz (fruto seco);Pimenta-do-reino;Soja (em grão);Sorgo (em grão);Tomate;Trigo (em grão);Triticale (em grão);Tungue (fruto seco);Urucum (semente);Uva
Belém do Piauí (PI);...;-;-;-;-;-;-;-;-;-;-;...;130;-;-;480;-;-;-;-;-;15;-;-;-;420;-;-;-;-;-;-;-;-;-;-
Beneditinos (PI);...;-;-;-;-;-;-;-;-;-;-;...;150;-;-;458;-;-;-;-;-;90;-;85;-;424;-;-;-;-;-;-;-;-;-;-
Bertolínia (PI);...;-;-;-;-;-;-;-;-;-;-;...;-;-;5;230;-;-;-;-;-;36;-;-;-;500;-;-;-;-;-;-;-;-;-;-
Betânia do Piauí (PI);...;-;30;-;-;-;-;-;-;-;-;...;-;-;-;400;-;-;-;-;-;200;-;-;-;1100;-;-;-;-;-;-;-;-;-;-
Boa Hora (PI);...;-;-;-;-;-;-;-;-;-;-;...;85;-;-;90;-;-;-;-;-;90;-;-;-;98;-;-;1160;-;-;-;-;-;-;-
Bocaina (PI);...;-;-;-;20;2;-;-;-;-;-;...;80;-;-;1108;-;-;-;-;-;25;4;-;-;265;-;-;-;-;1;-;-;-;-;-
Bom Jesus (PI);...;-;-;-;20;-;-;-;-;-;-;...;25;-;15;5570;-;-;-;-;-;90;6;35;-;32123;-;-;82209;70;-;-;-;-;-;-
Bom Princípio do Piauí (PI);...;-;-;-;-;-;-;-;-;-;-;...;1479;-;-;1967;-;-;-;-;-;2075;10;-;-;1967;-;-;-;-;-;-;-;-;-;-
Bonfim do Piauí (PI);...;-;-;-;-;-;-;-;-;-;-;...;-;-;-;1532;-;-;-;-;-;50;-;-;-;930;-;-;-;-;-;-;-;-;-;-
Boqueirão do Piauí (PI);...;-;-;-;-;-;-;-;-;-;-;...;163;-;-;332;-;-;-;-;-;75;-;-;-;332;-;-;-;-;-;-;-;-;-;-
Brasileira (PI);...;-;-;-;-;-;-;-;-;-;-;...;100;-;-;410;-;-;-;-;-;80;-;27;-;400;-;-;-;-;-;-;-;-;-;-
Brejo do Piauí (PI);...;-;-;-;-;-;-;-;-;-;-;...;4;-;-;440;-;-;-;-;-;10;-;20;-;1140;-;-;-;-;-;-;-;-;-;-
Buriti dos Lopes (PI);...;-;-;-;-;-;-;-;-;-;-;...;86;-;-;897;-;-;-;-;-;1015;-;-;-;1115;-;-;-;-;-;-;-;-;-;-
Buriti dos Montes (PI);...;-;-;-;-;-;-;-;-;-;-;...;9;-;-;1224;-;-;-;-;-;46;-;-;-;1220;-;-;-;-;-;-;-;-;-;-
Cabeceiras do Piauí (PI);...;-;-;-;-;-;-;-;-;-;-;...;178;-;-;122;-;-;-;-;-;180;-;20;-;495;-;-;-;-;-;-;-;-;-;-
Cajazeiras do Piauí (PI);...;-;-;-;-;-;-;-;-;-;-;...;-;-;-;125;-;-;-;-;-;10;-;-;-;547;-;-;-;-;-;-;-;-;-;-
Caldeirão Grande do Piauí (PI);...;-;12;-;-;-;-;-;-;-;-;...;-;-;100;2500;-;-;-;-;-;2000;-;-;-;3500;-;-;-;-;-;-;-;-;-;-
Campinas do Piauí (PI);...;-;-;-;14;-;-;-;-;-;-;...;-;-;-;750;-;-;-;-;-;20;16;-;-;1500;-;-;-;-;-;-;-;-;-;-
Campo Alegre do Fidalgo (PI);...;-;-;-;-;-;-;-;-;-;-;...;-;-;-;850;-;-;-;-;-;25;-;-;-;1350;-;-;-;-;-;-;-;-;-;-
Campo Grande do Piauí (PI);...;-;-;-;-;-;-;-;-;-;-;...;1500;-;-;1200;-;-;-;-;-;250;-;-;-;1500;-;-;-;-;-;-;-;-;-;-
Campo Largo do Piauí (PI);...;-;-;-;-;-;-;-;-;-;-;...;12;-;15;115;-;-;-;-;-;85;-;-;-;294;-;-;-;-;-;-;-;-;-;-
Campo Maior (PI);...;-;-;-;-;-;-;-;-;-;-;...;201;-;-;945;-;-;-;-;-;179;-;90;-;1130;-;-;-;-;-;-;-;-;-;-
Canavieira (PI);...;-;-;-;-;-;-;-;-;-;-;...;154;-;4;380;-;-;-;-;-;53;-;-;-;910;-;-;-;-;-;-;-;-;-;-
Canto do Buriti (PI);...;-;-;-;65;-;-;-;-;-;-;...;377;-;-;3700;-;-;-;-;-;152;-;113;456;6200;-;-;-;-;-;-;-;-;-;-
Capitão de Campos (PI);...;-;-;-;-;-;-;-;-;-;-;...;365;-;-;500;-;-;-;-;-;165;-;10;-;896;-;-;-;-;-;-;-;-;-;-
Capitão Gervásio Oliveira (PI);...;-;-;-;-;-;-;-;-;-;-;...;-;-;-;250;-;-;-;-;-;-;-;-;-;145;-;-;-;-;-;-;-;-;-;-
Caracol (PI);...;-;-;-;-;-;-;-;-;-;-;...;19;-;-;2666;-;-;-;-;-;120;-;-;-;2993;-;-;-;-;-;-;-;-;-;-
Caraúbas do Piauí (PI);...;-;-;-;-;-;-;-;-;-;-;...;43;-;-;290;-;-;-;-;-;34;-;-;-;290;-;-;-;-;-;-;-;-;-;-
Caridade do Piauí (PI);...;-;196;-;-;-;-;-;-;-;-;...;-;-;-;198;-;-;-;-;-;-;-;-;-;520;-;-;-;-;32;-;-;-;-;-
Castelo do Piauí (PI);...;-;-;-;-;-;-;-;-;-;-;...;122;-;-;1470;-;-;-;-;-;99;-;15;-;1400;-;-;-;-;-;-;-;-;-;-
Caxingó (PI);...;-;-;-;-;-;-;-;-;-;-;...;8;-;-;101;-;-;-;-;-;94;-;5;-;101;-;-;-;-;-;-;-;-;-;-
Cocal (PI);...;-;-;-;10;-;-;-;-;-;-;...;4422;-;16;5825;-;-;-;-;-;5196;15;-;-;5774;-;-;355;-;-;-;-;-;-;-
Cocal de Telha (PI);...;-;-;-;-;-;-;-;-;-;-;...;120;-;-;163;-;-;-;-;-;32;-;4;-;242;-;-;-;-;-;-;-;-;-;-
Cocal dos Alves (PI);...;-;-;-;-;-;-;-;-;-;-;...;3441;-;-;965;-;-;-;-;-;940;-;-;-;965;-;-;-;-;-;-;-;-;-;-
Coivaras (PI);...;-;-;-;-;-;-;-;-;-;-;...;835;-;-;225;-;-;-;-;-;25;20;16;-;233;-;-;-;-;-;-;-;-;-;-
Colônia do Gurguéia (PI);...;-;-;-;3;-;-;-;-;-;-;...;45;-;5;15;-;-;-;-;-;8;-;10;-;250;-;-;-;-;-;-;-;-;-;-
Colônia do Piauí (PI);...;-;-;-;-;-;-;-;-;-;-;...;60;-;-;854;-;-;-;-;-;29;-;23;-;854;-;-;-;-;-;-;-;-;-;-
Conceição do Canindé (PI);...;-;-;-;10;-;-;-;-;-;-;...;-;-;-;385;-;-;-;-;-;40;18;30;6;180;-;-;-;-;60;-;-;-;-;-
Coronel José Dias (PI);...;-;-;-;-;-;-;-;-;-;-;...;-;-;-;945;-;-;-;-;-;20;-;-;-;160;-;-;-;-;-;-;-;-;-;-
Corrente (PI);...;-;3160;-;-;-;-;-;-;-;-;...;-;-;-;660;-;-;-;-;-;220;-;-;-;3087;-;-;18260;-;-;-;-;-;-;-
Cristalândia do Piauí (PI);...;-;-;-;-;-;-;-;-;-;-;...;-;-;-;297;-;-;-;-;-;60;-;-;-;560;-;-;470;-;-;-;-;-;-;-
Cristino Castro (PI);...;-;-;-;15;-;-;-;-;-;-;...;19;-;26;320;-;-;-;-;-;45;-;-;-;260;-;-;-;-;-;-;-;-;-;-
Curimatá (PI);...;-;-;-;-;-;-;-;-;-;-;...;-;-;-;1100;-;-;-;-;-;42;-;-;-;1366;-;-;-;-;-;-;-;-;-;-
Currais (PI);...;-;-;-;5;-;-;-;-;-;-;...;10;-;-;100;-;-;-;-;-;90;-;-;-;21805;-;-;62915;1700;-;-;-;-;-;-
Curralinhos (PI);...;-;-;-;7;-;-;-;-;-;-;...;105;-;6;58;-;-;-;-;-;30;-;-;-;234;-;-;-;-;-;-;-;-;-;-
Curral Novo do Piauí (PI);...;-;140;-;-;-;-;-;-;-;-;...;-;-;-;450;-;-;-;-;-;780;-;-;-;1680;-;-;-;-;-;-;-;-;-;-
Demerval Lobão (PI);...;-;-;-;-;-;-;-;-;-;-;...;35;-;-;141;-;-;-;-;-;20;-;23;-;270;-;-;-;-;-;-;-;-;-;-
Dirceu Arcoverde (PI);...;-;-;-;-;-;-;-;-;-;-;...;-;-;-;800;-;-;-;-;-;15;-;-;-;266;-;-;-;-;-;-;-;-;-;-
Dom Expedito Lopes (PI);...;-;-;-;-;-;-;-;-;-;-;...;783;-;-;1540;-;-;-;-;-;71;2;5;-;270;-;-;-;-;3;-;-;-;-;-
Domingos Mourão (PI);...;-;-;-;-;-;-;-;-;-;-;...;139;-;-;870;-;-;-;-;-;20;-;35;-;770;-;-;-;-;-;-;-;-;-;-
Dom Inocêncio (PI);...;-;-;-;-;-;-;-;-;-;-;...;-;-;-;1425;-;-;-;-;-;8;-;-;-;825;-;-;-;-;-;-;-;-;-;-
Elesbão Veloso (PI);...;-;-;-;3;-;-;-;-;-;-;...;40;-;8;250;-;-;-;-;-;180;-;5;-;860;-;-;-;-;-;-;-;-;-;-
Eliseu Martins (PI);...;-;-;-;-;-;-;-;-;-;-;...;15;-;-;200;-;-;-;-;-;8;-;-;-;1500;-;-;-;-;-;-;-;-;-;-
Esperantina (PI);...;-;-;-;20;-;-;-;-;-;-;...;377;-;20;302;-;-;-;-;-;300;15;15;-;1698;-;-;-;-;-;-;-;-;-;-
Fartura do Piauí (PI);...;-;-;-;-;-;-;-;-;-;-;...;-;-;-;650;-;-;-;-;-;40;-;-;-;150;-;-;-;-;-;-;-;-;-;-
Flores do Piauí (PI);...;-;-;-;-;-;-;-;-;-;-;...;57;-;3;570;-;-;-;-;-;25;-;-;-;810;-;-;-;-;-;-;-;-;-;-
Floresta do Piauí (PI);...;-;-;-;-;-;-;-;-;-;-;...;6;-;-;270;-;-;-;-;-;8;-;-;-;506;-;-;-;-;-;-;-;-;-;-
Floriano (PI);...;-;-;-;5;-;-;-;-;-;-;...;966;-;3;1170;-;-;-;-;-;49;12;12;-;1060;-;-;-;-;5;-;-;-;-;-
Francinópolis (PI);...;-;-;-;-;-;-;-;-;-;-;...;30;-;85;43;-;-;-;-;-;15;-;3;-;293;-;-;-;-;-;-;-;-;-;-
Francisco Ayres (PI);...;-;-;-;-;-;-;-;-;-;-;...;25;-;3;220;-;-;-;-;-;35;-;-;-;1500;-;-;-;-;-;-;-;-;-;-
Francisco Macedo (PI);...;-;20;16;-;-;-;-;-;-;-;...;-;-;20;360;-;-;-;-;-;-;-;-;-;525;-;-;-;-;-;-;-;-;-;-
Francisco Santos (PI);...;-;-;-;-;-;-;-;-;-;-;...;2000;-;-;1700;-;-;-;-;-;300;-;-;-;20;-;-;-;-;-;-;-;-;-;-
Fronteiras (PI);...;-;-;-;-;-;-;-;-;-;-;...;-;-;70;2500;-;-;-;-;-;50;-;-;-;3500;-;-;-;-;-;-;-;-;-;-
Geminiano (PI);...;-;-;-;9;-;-;-;-;-;-;...;900;-;-;2000;-;-;-;-;-;345;-;20;-;2880;-;-;-;-;5;-;-;-;-;-
Gilbués (PI);...;-;-;-;-;-;-;-;-;-;-;...;20;-;12;1818;-;-;-;-;-;100;-;-;-;15955;-;-;35540;9934;-;-;-;-;-;-
Guaribas (PI);...;-;-;-;-;-;-;-;-;-;-;...;10;-;-;1000;-;-;-;-;-;45;-;-;-;1000;-;-;-;-;-;-;-;-;-;-
Hugo Napoleão (PI);...;-;-;-;-;-;-;-;-;-;-;...;138;-;12;60;-;-;-;-;-;15;-;-;-;500;-;-;-;-;-;-;-;-;-;-
Ilha Grande (PI);...;-;-;-;7;-;-;-;-;-;-;...;10;-;-;35;-;-;-;-;-;19;13;-;-;16;-;-;-;-;-;-;-;-;-;-
Inhuma (PI);...;-;-;-;20;-;-;-;-;-;-;...;1530;-;20;2520;-;-;-;-;-;1400;5;35;-;1840;-;-;-;-;20;-;-;-;-;-
Ipiranga do Piauí (PI);...;-;-;-;3;-;-;-;-;-;-;...;505;-;5;688;-;-;-;-;-;75;-;25;-;320;-;-;-;-;5;-;-;-;-;-
Isaías Coelho (PI);...;-;-;-;-;-;-;-;-;-;-;...;18;-;-;1500;-;-;-;-;-;8;-;-;-;1800;-;-;-;-;-;-;-;-;-;-
Itainópolis (PI);...;-;-;-;18;8;-;-;-;-;-;...;68;-;-;2520;-;-;-;-;-;20;-;16;2;3000;-;-;-;-;-;-;-;-;-;-
Itaueira (PI);...;-;-;15;11;-;-;-;-;-;-;...;142;-;5;750;-;-;-;-;-;80;-;-;-;8820;-;-;-;-;-;-;-;-;-;-
Jacobina do Piauí (PI);...;-;-;-;-;-;-;-;-;-;-;...;-;-;-;315;-;-;-;-;-;-;-;1;-;472;-;-;-;-;2;-;-;-;-;-
Jaicós (PI);...;-;-;-;-;-;-;-;-;-;-;...;1585;-;-;1750;-;-;-;-;-;500;-;-;-;525;-;-;-;-;-;-;-;-;-;-
Jardim do Mulato (PI);...;-;-;-;6;-;-;-;-;-;-;...;200;-;17;117;-;-;-;-;-;30;-;-;-;360;-;-;-;-;-;-;-;-;-;-
Jatobá do Piauí (PI);...;-;-;-;-;-;-;-;-;-;-;...;480;-;-;411;-;-;-;-;-;40;-;300;-;840;-;-;-;-;-;-;-;-;-;-
Jerumenha (PI);...;-;-;-;-;-;-;-;-;-;-;...;-;-;-;280;-;-;-;-;-;10;-;-;-;280;-;-;-;-;-;-;-;-;-;-
João Costa (PI);...;-;-;-;122;-;-;-;-;-;-;...;-;-;-;210;-;-;-;-;-;-;-;-;-;210;-;-;-;-;-;-;-;-;-;-
Joaquim Pires (PI);...;-;-;-;5;-;-;-;-;-;-;...;150;-;-;489;-;-;-;-;-;95;-;-;-;847;-;-;-;-;-;-;-;-;-;-
Joca Marques (PI);...;-;-;-;-;-;-;-;-;-;-;...;35;-;-;140;-;-;-;-;-;130;-;13;-;230;-;-;-;-;-;-;-;-;-;-
José de Freitas (PI);...;-;-;-;5;-;-;-;-;-;-;...;170;-;10;700;-;-;-;-;-;400;35;50;-;1106;-;-;-;-;-;-;-;-;-;-
Juazeiro do Piauí (PI);...;-;-;-;-;-;-;-;-;-;-;...;34;-;-;700;-;-;-;-;-;25;-;5;-;753;-;-;-;-;-;-;-;-;-;-
Júlio Borges (PI);...;-;-;-;-;-;-;-;-;-;-;...;-;-;-;500;-;-;-;-;-;30;-;-;-;660;-;-;-;-;-;-;-;-;-;-
Jurema (PI);...;-;-;-;-;-;-;-;-;-;-;...;-;-;-;1228;-;-;-;-;-;55;-;-;-;1940;-;-;-;-;-;-;-;-;-;-
Lagoinha do Piauí (PI);...;-;-;-;-;-;-;-;-;-;-;...;30;-;5;78;-;-;-;-;-;40;-;-;-;150;-;-;-;-;-;-;-;-;-;-
Lagoa Alegre (PI);...;-;-;-;-;-;-;-;-;-;-;...;35;-;20;230;-;-;-;-;-;120;-;35;-;285;-;-;-;-;-;-;-;-;-;-
Lagoa do Barro do Piauí (PI);...;-;-;-;-;-;-;-;-;-;-;...;-;-;-;1200;-;-;-;-;-;4;-;-;-;600;-;-;-;-;-;-;-;-;-;-
Lagoa de São Francisco (PI);...;-;-;-;-;-;-;-;-;-;-;...;91;-;40;565;-;-;-;-;-;65;-;-;-;600;-;-;-;-;-;-;-;-;-;-
Lagoa do Piauí (PI);...;-;-;-;-;-;-;-;-;-;-;...;68;-;8;97;-;-;-;-;-;60;-;12;-;290;-;-;-;-;-;-;-;-;-;-
Lagoa do Sítio (PI);...;-;-;-;-;-;-;-;-;-;-;...;472;-;5;1760;-;-;-;-;-;60;-;-;-;2701;-;-;-;-;-;-;-;-;-;-
Landri Sales (PI);...;-;-;-;10;-;-;-;-;-;-;...;112;-;13;370;-;-;-;-;-;20;-;-;-;6017;-;-;2060;-;-;-;-;-;-;-
Luís Correia (PI);...;-;-;-;-;-;-;-;-;-;-;...;1759;-;-;3740;-;-;-;-;-;3425;-;-;-;3730;-;-;-;-;-;-;-;-;-;-
Luzilândia (PI);...;-;-;-;7;-;-;-;-;-;-;...;65;-;-;260;-;-;-;-;-;160;-;25;-;1300;-;-;-;-;-;-;-;-;-;-
Madeiro (PI);...;-;-;-;3;-;-;-;-;-;-;...;30;-;-;225;-;-;-;-;-;88;-;3;-;328;-;-;-;-;-;-;-;-;-;-
Manoel Emídio (PI);...;-;-;-;14;-;-;-;-;-;-;...;280;-;10;100;-;-;-;-;-;90;-;-;-;151;-;-;-;-;-;-;-;-;-;-
Marcolândia (PI);...;-;6;-;-;-;-;-;-;-;-;...;6;-;2;70;-;-;-;-;-;2680;-;-;-;790;-;-;-;-;-;-;-;-;-;-
Massapê do Piauí (PI);...;-;5;-;-;-;-;-;-;-;-;...;134;-;-;780;-;-;-;-;-;-;-;-;-;745;-;-;-;-;-;-;-;-;-;-
Matias Olímpio (PI);...;-;-;-;-;-;-;-;-;-;-;...;25;-;20;213;-;-;-;-;-;90;-;-;-;375;-;-;-;-;-;-;-;-;-;-
Miguel Alves (PI);...;-;-;-;10;-;-;-;-;-;-;...;75;-;-;1000;-;-;-;-;-;400;20;20;-;2492;-;-;-;-;-;-;-;-;-;-
Miguel Leão (PI);...;-;-;-;-;-;-;-;-;-;-;...;-;-;23;84;-;-;-;-;-;11;-;-;-;130;-;-;-;-;-;-;-;-;-;-
Milton Brandão (PI);...;-;-;-;-;-;-;-;-;-;-;...;565;-;-;1056;-;-;-;-;-;207;-;21;-;1023;-;-;-;-;-;-;-;-;-;-
Monsenhor Gil (PI);...;-;-;-;4;-;-;-;-;-;-;...;31;-;35;231;-;-;-;-;-;27;4;50;-;471;-;-;-;-;-;-;-;-;-;-
Monsenhor Hipólito (PI);...;-;-;-;-;-;-;-;-;-;-;...;2400;-;-;4000;-;-;-;-;-;415;-;-;-;450;-;-;-;-;-;-;-;-;-;-
Monte Alegre do Piauí (PI);...;-;-;-;-;-;-;-;-;-;-;...;-;-;-;1250;-;-;-;-;-;26;-;-;-;7496;-;-;20173;-;-;-;-;-;-;-
Morro Cabeça no Tempo (PI);...;-;-;-;-;-;-;-;-;-;-;...;-;-;-;432;-;-;-;-;-;22;-;-;-;687;-;-;-;-;-;-;-;-;-;-
Morro do Chapéu do Piauí (PI);...;-;-;-;4;-;-;-;-;-;-;...;54;-;20;175;-;-;-;-;-;122;-;4;-;470;-;-;-;-;-;-;-;-;-;-
Murici dos Portelas (PI);...;-;-;-;-;-;-;-;-;-;-;...;297;-;-;567;-;-;-;-;-;273;-;-;-;365;-;-;-;-;-;-;-;-;-;-
Nazaré do Piauí (PI);...;-;-;-;-;-;-;-;-;-;-;...;15;-;-;80;-;-;-;-;-;14;-;-;-;260;-;-;-;-;-;-;-;-;-;-
Nazária (PI);...;-;-;-;-;-;-;-;-;-;-;...;95;-;3;150;-;-;-;-;-;45;-;11;-;233;-;-;-;-;-;-;-;-;-;-
Nossa Senhora de Nazaré (PI);...;-;-;-;-;-;-;-;-;-;-;...;84;-;-;322;-;-;-;-;-;55;-;-;-;326;-;-;-;-;-;-;-;-;-;-
Nossa Senhora dos Remédios (PI);...;-;-;-;-;-;-;-;-;-;-;...;12;-;10;93;-;-;-;-;-;100;-;-;-;380;-;-;-;-;-;-;-;-;-;-
Novo Oriente do Piauí (PI);...;-;-;-;-;-;-;-;-;-;-;...;225;-;20;200;-;-;-;-;-;4;-;-;-;918;-;-;-;-;-;-;-;-;-;-
Novo Santo Antônio (PI);...;-;-;-;-;-;-;-;-;-;-;...;3;-;-;300;-;-;-;-;-;11;-;-;-;368;-;-;-;-;-;-;-;-;-;-
Oeiras (PI);...;-;-;-;17;-;-;-;-;-;-;...;190;-;45;2550;-;-;-;-;-;100;4;15;-;4000;-;-;-;-;-;-;-;-;-;-
Olho D'Água do Piauí (PI);...;-;-;-;-;-;-;-;-;-;-;...;70;-;20;70;-;-;-;-;-;30;-;100;-;500;-;-;-;-;-;-;-;-;-;-
Padre Marcos (PI);...;-;35;25;-;-;-;-;-;-;-;...;20;-;-;861;-;-;-;-;-;5;-;-;-;1175;-;-;-;-;-;-;-;-;-;-
Paes Landim (PI);...;-;-;-;-;-;-;-;-;-;-;...;-;-;-;380;-;-;-;-;-;25;-;-;-;650;-;-;-;-;-;-;-;-;-;-
